,date,Pfizer,COVID-19,Vaccines
2018-01-01,,25,0.0,37.0
2018-01-02,,47,0.0,62.0
2018-01-03,,49,0.0,70.0
2018-01-04,,62,0.0,68.0
2018-01-05,,47,0.0,69.0
2018-01-06,,32,0.0,59.0
2018-01-07,,41,2.0,55.0
2018-01-08,,71,0.0,75.0
2018-01-09,,78,0.0,69.0
2018-01-10,,77,0.0,82.0
2018-01-11,,78,0.0,79.0
2018-01-12,,49,0.0,79.0
2018-01-13,,32,0.0,58.0
2018-01-14,,33,0.0,53.0
2018-01-15,,43,0.0,67.0
2018-01-16,,56,1.0,73.0
2018-01-17,,57,0.0,72.0
2018-01-18,,50,0.0,79.0
2018-01-19,,50,1.0,83.0
2018-01-20,,29,0.0,70.0
2018-01-21,,25,0.0,63.0
2018-01-22,,57,0.0,89.0
2018-01-23,,56,0.0,92.0
2018-01-24,,63,0.0,83.0
2018-01-25,,50,0.0,82.0
2018-01-26,,64,1.0,76.0
2018-01-27,,41,0.0,63.0
2018-01-28,,35,0.0,65.0
2018-01-29,,59,0.0,83.0
2018-01-30,,82,0.0,90.0
2018-01-31,,75,0.0,85.0
2018-02-01,,68,2.0,89.0
2018-02-02,,57,0.0,79.0
2018-02-03,,30,0.0,67.0
2018-02-04,,28,0.0,57.0
2018-02-05,,62,0.0,76.0
2018-02-06,,72,0.0,85.0
2018-02-07,,59,0.0,85.0
2018-02-08,,64,2.0,81.0
2018-02-09,,58,0.0,70.0
2018-02-10,,34,0.0,69.0
2018-02-11,,33,2.0,59.0
2018-02-12,,52,0.0,88.0
2018-02-13,,65,0.0,88.0
2018-02-14,,51,0.0,83.0
2018-02-15,,57,0.0,83.0
2018-02-16,,56,0.0,78.0
2018-02-17,,32,0.0,58.0
2018-02-18,,28,0.0,58.0
2018-02-19,,45,0.0,76.0
2018-02-20,,61,0.0,81.0
2018-02-21,,54,0.0,79.0
2018-02-22,,59,1.0,83.0
2018-02-23,,50,1.0,80.0
2018-02-24,,36,0.0,52.0
2018-02-25,,31,1.0,57.0
2018-02-26,,56,0.0,78.0
2018-02-27,,57,0.0,83.0
2018-02-28,,59,0.0,76.0
2018-03-01,,52,0.0,76.0
2018-03-02,,52,0.0,75.0
2018-03-03,,24,0.0,52.0
2018-03-04,,27,0.0,56.0
2018-03-05,,48,0.0,75.0
2018-03-06,,57,1.0,76.0
2018-03-07,,47,0.0,77.0
2018-03-08,,58,2.0,84.0
2018-03-09,,53,0.0,69.0
2018-03-10,,32,2.0,59.0
2018-03-11,,30,0.0,67.0
2018-03-12,,51,0.0,80.0
2018-03-13,,56,0.0,81.0
2018-03-14,,54,0.0,77.0
2018-03-15,,52,0.0,89.0
2018-03-16,,52,0.0,76.0
2018-03-17,,28,1.0,53.0
2018-03-18,,24,0.0,57.0
2018-03-19,,49,0.0,76.0
2018-03-20,,64,0.0,77.0
2018-03-21,,58,0.0,73.0
2018-03-22,,62,0.0,74.0
2018-03-23,,56,1.0,75.0
2018-03-24,,29,0.0,67.0
2018-03-25,,28,0.0,61.0
2018-03-26,,59,0.0,78.0
2018-03-27,,59,0.0,82.0
2018-03-28,,50,0.0,82.0
2018-03-29,,53,0.0,86.0
2018-03-30,,35,0.0,83.0
2018-03-31,,31,0.0,67.0
2018-04-01,,22,0.0,70.0
2018-04-02,,56,0.0,86.0
2018-04-03,,56,0.0,80.0
2018-04-04,,58,1.0,87.0
2018-04-05,,52,3.0,82.0
2018-04-06,,52,0.0,89.0
2018-04-07,,32,0.0,76.0
2018-04-08,,29,0.0,71.0
2018-04-09,,51,0.0,91.0
2018-04-10,,58,0.0,100.0
2018-04-11,,52,1.0,83.0
2018-04-12,,53,0.0,80.0
2018-04-13,,50,0.0,72.0
2018-04-14,,30,0.0,69.0
2018-04-15,,31,1.0,64.0
2018-04-16,,48,0.0,78.0
2018-04-17,,60,0.0,77.0
2018-04-18,,54,0.0,79.0
2018-04-19,,55,0.0,92.0
2018-04-20,,53,0.0,73.0
2018-04-21,,25,0.0,55.0
2018-04-22,,28,6.0,60.0
2018-04-23,,52,0.0,99.0
2018-04-24,,56,0.0,85.0
2018-04-25,,51,0.0,84.0
2018-04-26,,55,0.0,79.0
2018-04-27,,52,0.0,75.0
2018-04-28,,25,0.0,58.0
2018-04-29,,31,0.0,57.0
2018-04-30,,44,1.0,86.0
2018-05-01,,54,0.0,79.0
2018-05-02,,55,0.0,80.0
2018-05-03,,49,0.0,74.0
2018-05-04,,46,1.0,73.0
2018-05-05,,26,0.0,55.0
2018-05-06,,21,0.0,54.0
2018-05-07,,52,0.0,63.0
2018-05-08,,46,2.0,84.0
2018-05-09,,53,0.0,86.0
2018-05-10,,49,0.0,80.0
2018-05-11,,42,2.0,74.0
2018-05-12,,25,0.0,46.0
2018-05-13,,26,0.0,47.0
2018-05-14,,56,0.0,82.0
2018-05-15,,53,0.0,68.0
2018-05-16,,49,1.0,78.0
2018-05-17,,55,0.0,78.0
2018-05-18,,49,0.0,70.0
2018-05-19,,26,0.0,41.0
2018-05-20,,23,0.0,55.0
2018-05-21,,52,0.0,55.0
2018-05-22,,54,2.0,86.0
2018-05-23,,49,0.0,77.0
2018-05-24,,56,1.0,72.0
2018-05-25,,47,0.0,62.0
2018-05-26,,28,0.0,50.0
2018-05-27,,22,0.0,44.0
2018-05-28,,42,1.0,42.0
2018-05-29,,51,0.0,67.0
2018-05-30,,49,0.0,70.0
2018-05-31,,57,0.0,76.0
2018-06-01,,41,0.0,62.0
2018-06-02,,24,3.0,45.0
2018-06-03,,26,0.0,51.0
2018-06-04,,49,0.0,63.0
2018-06-05,,53,0.0,64.0
2018-06-06,,53,2.0,63.0
2018-06-07,,49,0.0,67.0
2018-06-08,,49,0.0,74.0
2018-06-09,,26,0.0,64.0
2018-06-10,,25,2.0,53.0
2018-06-11,,50,0.0,79.0
2018-06-12,,58,0.0,72.0
2018-06-13,,48,1.0,86.0
2018-06-14,,52,0.0,71.0
2018-06-15,,42,0.0,83.0
2018-06-16,,27,0.0,53.0
2018-06-17,,22,0.0,49.0
2018-06-18,,48,0.0,64.0
2018-06-19,,48,0.0,66.0
2018-06-20,,52,0.0,73.0
2018-06-21,,47,0.0,64.0
2018-06-22,,40,0.0,59.0
2018-06-23,,25,0.0,48.0
2018-06-24,,20,0.0,53.0
2018-06-25,,43,0.0,74.0
2018-06-26,,46,0.0,60.0
2018-06-27,,41,0.0,60.0
2018-06-28,,48,0.0,63.0
2018-06-29,,41,0.0,71.0
2018-06-30,,0,0.0,0.0
2018-06-30,,0,0.0,0.0
2018-07-01,,0,0.0,0.0
2018-07-02,,0,0.0,0.0
2018-07-03,,0,0.0,0.0
2018-07-04,,0,0.0,0.0
2018-07-05,,0,0.0,0.0
2018-07-06,,0,0.0,0.0
2018-07-07,,0,0.0,0.0
2018-07-08,,0,0.0,0.0
2018-07-09,,0,0.0,0.0
2018-07-10,,0,0.0,0.0
2018-07-11,,0,0.0,0.0
2018-07-12,,0,0.0,0.0
2018-07-13,,0,0.0,0.0
2018-07-14,,0,0.0,0.0
2018-07-15,,0,0.0,0.0
2018-07-16,,0,0.0,0.0
2018-07-17,,0,0.0,0.0
2018-07-18,,0,0.0,0.0
2018-07-19,,0,0.0,0.0
2018-07-20,,0,0.0,0.0
2018-07-21,,0,0.0,0.0
2018-07-22,,0,0.0,0.0
2018-07-23,,0,0.0,0.0
2018-07-24,,0,0.0,0.0
2018-07-25,,0,0.0,0.0
2018-07-26,,0,0.0,0.0
2018-07-27,,0,0.0,0.0
2018-07-28,,0,0.0,0.0
2018-07-29,,0,0.0,0.0
2018-07-30,,0,0.0,0.0
2018-07-31,,0,0.0,0.0
2018-08-01,,0,0.0,0.0
2018-08-02,,0,0.0,0.0
2018-08-03,,0,0.0,0.0
2018-08-04,,0,0.0,0.0
2018-08-05,,0,0.0,0.0
2018-08-06,,0,0.0,0.0
2018-08-07,,0,0.0,0.0
2018-08-08,,0,0.0,0.0
2018-08-09,,0,0.0,0.0
2018-08-10,,0,0.0,0.0
2018-08-11,,0,0.0,0.0
2018-08-12,,0,0.0,0.0
2018-08-13,,0,0.0,0.0
2018-08-14,,0,0.0,0.0
2018-08-15,,0,0.0,0.0
2018-08-16,,0,0.0,0.0
2018-08-17,,0,0.0,0.0
2018-08-18,,0,0.0,0.0
2018-08-19,,0,0.0,0.0
2018-08-20,,0,0.0,0.0
2018-08-21,,0,0.0,0.0
2018-08-22,,0,0.0,0.0
2018-08-23,,0,0.0,0.0
2018-08-24,,0,0.0,0.0
2018-08-25,,0,0.0,0.0
2018-08-26,,0,0.0,0.0
2018-08-27,,0,0.0,0.0
2018-08-28,,0,0.0,0.0
2018-08-29,,0,0.0,0.0
2018-08-30,,0,0.0,0.0
2018-08-31,,0,0.0,0.0
2018-09-01,,0,0.0,0.0
2018-09-02,,0,0.0,0.0
2018-09-03,,0,0.0,0.0
2018-09-04,,0,0.0,0.0
2018-09-05,,0,0.0,0.0
2018-09-06,,0,0.0,0.0
2018-09-07,,0,0.0,0.0
2018-09-08,,0,0.0,0.0
2018-09-09,,0,0.0,0.0
2018-09-10,,0,0.0,0.0
2018-09-11,,0,0.0,0.0
2018-09-12,,0,0.0,0.0
2018-09-13,,0,0.0,0.0
2018-09-14,,0,0.0,0.0
2018-09-15,,0,0.0,0.0
2018-09-16,,0,0.0,0.0
2018-09-17,,0,0.0,0.0
2018-09-18,,0,0.0,0.0
2018-09-19,,0,0.0,0.0
2018-09-20,,0,0.0,0.0
2018-09-21,,0,0.0,0.0
2018-09-22,,0,0.0,0.0
2018-09-23,,0,0.0,0.0
2018-09-24,,0,0.0,0.0
2018-09-25,,0,0.0,0.0
2018-09-26,,0,0.0,0.0
2018-09-27,,0,0.0,0.0
2018-09-28,,0,0.0,0.0
2018-09-29,,0,0.0,0.0
2018-09-30,,0,0.0,0.0
2018-10-01,,0,0.0,0.0
2018-10-02,,0,0.0,0.0
2018-10-03,,0,0.0,0.0
2018-10-04,,0,0.0,0.0
2018-10-05,,0,0.0,0.0
2018-10-06,,0,0.0,0.0
2018-10-07,,0,0.0,0.0
2018-10-08,,0,0.0,0.0
2018-10-09,,0,0.0,0.0
2018-10-10,,0,0.0,0.0
2018-10-11,,0,0.0,0.0
2018-10-12,,0,0.0,0.0
2018-10-13,,0,0.0,0.0
2018-10-14,,0,0.0,0.0
2018-10-15,,0,0.0,0.0
2018-10-16,,0,0.0,0.0
2018-10-17,,0,0.0,0.0
2018-10-18,,0,0.0,0.0
2018-10-19,,0,0.0,0.0
2018-10-20,,0,0.0,0.0
2018-10-21,,0,0.0,0.0
2018-10-22,,0,0.0,0.0
2018-10-23,,0,0.0,0.0
2018-10-24,,0,0.0,0.0
2018-10-25,,0,0.0,0.0
2018-10-26,,0,0.0,0.0
2018-10-27,,0,0.0,0.0
2018-10-28,,0,0.0,0.0
2018-10-29,,0,0.0,0.0
2018-10-30,,0,0.0,0.0
2018-10-31,,0,0.0,0.0
2018-11-01,,0,0.0,0.0
2018-11-02,,0,0.0,0.0
2018-11-03,,0,0.0,0.0
2018-11-04,,0,0.0,0.0
2018-11-05,,0,0.0,0.0
2018-11-06,,0,0.0,0.0
2018-11-07,,0,0.0,0.0
2018-11-08,,0,0.0,0.0
2018-11-09,,0,0.0,0.0
2018-11-10,,0,0.0,0.0
2018-11-11,,0,0.0,0.0
2018-11-12,,0,0.0,0.0
2018-11-13,,0,0.0,0.0
2018-11-14,,0,0.0,0.0
2018-11-15,,0,0.0,0.0
2018-11-16,,0,0.0,0.0
2018-11-17,,0,0.0,0.0
2018-11-18,,0,0.0,0.0
2018-11-19,,0,0.0,0.0
2018-11-20,,0,0.0,0.0
2018-11-21,,0,0.0,0.0
2018-11-22,,0,0.0,0.0
2018-11-23,,0,0.0,0.0
2018-11-24,,0,0.0,0.0
2018-11-25,,0,0.0,0.0
2018-11-26,,0,0.0,0.0
2018-11-27,,0,0.0,0.0
2018-11-28,,0,0.0,0.0
2018-11-29,,0,0.0,0.0
2018-11-30,,0,0.0,0.0
2018-12-01,,0,0.0,0.0
2018-12-02,,0,0.0,0.0
2018-12-03,,0,0.0,0.0
2018-12-04,,0,0.0,0.0
2018-12-05,,0,0.0,0.0
2018-12-06,,0,0.0,0.0
2018-12-07,,0,0.0,0.0
2018-12-08,,0,0.0,0.0
2018-12-09,,0,0.0,0.0
2018-12-10,,0,0.0,0.0
2018-12-11,,0,0.0,0.0
2018-12-12,,0,0.0,0.0
2018-12-13,,0,0.0,0.0
2018-12-14,,0,0.0,0.0
2018-12-15,,0,0.0,0.0
2018-12-16,,0,0.0,0.0
2018-12-17,,0,0.0,0.0
2018-12-18,,0,0.0,0.0
2018-12-19,,0,0.0,0.0
2018-12-20,,0,0.0,0.0
2018-12-21,,0,0.0,0.0
2018-12-22,,0,0.0,0.0
2018-12-23,,0,0.0,0.0
2018-12-24,,0,0.0,0.0
2018-12-25,,0,0.0,0.0
2018-12-26,,0,0.0,0.0
2018-12-27,,0,0.0,0.0
2018-12-28,,0,0.0,0.0
2018-12-29,,0,0.0,0.0
2018-12-30,,0,0.0,0.0
2018-12-31,,0,0.0,0.0
2019-01-01,,73,0.0,100.0
2019-01-01,,19,0.0,27.0
2019-01-02,,27,0.0,45.0
2019-01-03,,32,0.0,51.0
2019-01-04,,32,0.0,50.0
2019-01-05,,18,0.0,40.0
2019-01-06,,21,0.0,39.0
2019-01-07,,35,0.0,59.0
2019-01-08,,48,0.0,54.0
2019-01-09,,45,0.0,56.0
2019-01-10,,36,0.0,57.0
2019-01-11,,39,1.0,47.0
2019-01-12,,20,0.0,40.0
2019-01-13,,19,0.0,42.0
2019-01-14,,39,0.0,50.0
2019-01-15,,34,0.0,50.0
2019-01-16,,38,0.0,52.0
2019-01-17,,38,0.0,62.0
2019-01-18,,32,0.0,49.0
2019-01-19,,19,0.0,47.0
2019-01-20,,18,0.0,35.0
2019-01-21,,28,0.0,43.0
2019-01-22,,34,1.0,57.0
2019-01-23,,32,0.0,58.0
2019-01-24,,34,0.0,68.0
2019-01-25,,33,0.0,57.0
2019-01-26,,20,0.0,50.0
2019-01-27,,20,0.0,57.0
2019-01-28,,37,0.0,68.0
2019-01-29,,41,0.0,76.0
2019-01-30,,38,0.0,77.0
2019-01-31,,32,0.0,82.0
2019-02-01,,35,0.0,73.0
2019-02-02,,18,2.0,56.0
2019-02-03,,19,0.0,52.0
2019-02-04,,36,0.0,62.0
2019-02-05,,35,0.0,70.0
2019-02-06,,36,1.0,69.0
2019-02-07,,31,0.0,76.0
2019-02-08,,36,0.0,66.0
2019-02-09,,20,0.0,57.0
2019-02-10,,15,0.0,63.0
2019-02-11,,32,0.0,73.0
2019-02-12,,35,0.0,72.0
2019-02-13,,36,0.0,73.0
2019-02-14,,30,0.0,66.0
2019-02-15,,30,1.0,68.0
2019-02-16,,21,0.0,53.0
2019-02-17,,17,0.0,46.0
2019-02-18,,28,0.0,63.0
2019-02-19,,34,0.0,66.0
2019-02-20,,42,0.0,68.0
2019-02-21,,37,0.0,66.0
2019-02-22,,34,0.0,62.0
2019-02-23,,19,1.0,52.0
2019-02-24,,16,0.0,50.0
2019-02-25,,34,1.0,73.0
2019-02-26,,34,0.0,73.0
2019-02-27,,36,0.0,72.0
2019-02-28,,36,0.0,71.0
2019-03-01,,34,0.0,69.0
2019-03-02,,18,0.0,57.0
2019-03-03,,16,0.0,50.0
2019-03-04,,31,1.0,66.0
2019-03-05,,37,1.0,100.0
2019-03-06,,35,0.0,94.0
2019-03-07,,28,0.0,83.0
2019-03-08,,28,0.0,81.0
2019-03-09,,20,1.0,70.0
2019-03-10,,20,1.0,65.0
2019-03-11,,33,0.0,86.0
2019-03-12,,34,0.0,72.0
2019-03-13,,33,0.0,79.0
2019-03-14,,34,1.0,75.0
2019-03-15,,32,0.0,64.0
2019-03-16,,17,0.0,47.0
2019-03-17,,19,0.0,44.0
2019-03-18,,33,0.0,62.0
2019-03-19,,33,0.0,74.0
2019-03-20,,33,0.0,65.0
2019-03-21,,39,0.0,64.0
2019-03-22,,33,0.0,58.0
2019-03-23,,17,0.0,46.0
2019-03-24,,17,1.0,47.0
2019-03-25,,29,0.0,61.0
2019-03-26,,35,0.0,66.0
2019-03-27,,36,0.0,80.0
2019-03-28,,33,1.0,76.0
2019-03-29,,36,1.0,66.0
2019-03-30,,19,0.0,51.0
2019-03-31,,16,0.0,49.0
2019-04-01,,30,1.0,67.0
2019-04-02,,32,0.0,68.0
2019-04-03,,34,0.0,74.0
2019-04-04,,34,0.0,65.0
2019-04-05,,34,0.0,59.0
2019-04-06,,18,0.0,44.0
2019-04-07,,15,0.0,51.0
2019-04-08,,33,0.0,64.0
2019-04-09,,33,1.0,79.0
2019-04-10,,31,0.0,75.0
2019-04-11,,31,0.0,72.0
2019-04-12,,30,0.0,66.0
2019-04-13,,20,0.0,40.0
2019-04-14,,14,0.0,47.0
2019-04-15,,31,0.0,66.0
2019-04-16,,34,0.0,69.0
2019-04-17,,37,0.0,73.0
2019-04-18,,37,0.0,66.0
2019-04-19,,26,0.0,64.0
2019-04-20,,17,0.0,41.0
2019-04-21,,16,1.0,40.0
2019-04-22,,30,0.0,58.0
2019-04-23,,30,0.0,70.0
2019-04-24,,31,0.0,74.0
2019-04-25,,35,0.0,87.0
2019-04-26,,30,1.0,83.0
2019-04-27,,19,1.0,60.0
2019-04-28,,16,0.0,55.0
2019-04-29,,30,0.0,76.0
2019-04-30,,43,0.0,82.0
2019-05-01,,32,1.0,83.0
2019-05-02,,32,0.0,83.0
2019-05-03,,29,0.0,70.0
2019-05-04,,17,0.0,51.0
2019-05-05,,17,0.0,52.0
2019-05-06,,28,0.0,62.0
2019-05-07,,34,0.0,66.0
2019-05-08,,35,0.0,71.0
2019-05-09,,34,0.0,75.0
2019-05-10,,30,0.0,59.0
2019-05-11,,18,0.0,46.0
2019-05-12,,15,0.0,44.0
2019-05-13,,30,1.0,68.0
2019-05-14,,38,0.0,67.0
2019-05-15,,30,0.0,69.0
2019-05-16,,32,0.0,64.0
2019-05-17,,33,0.0,62.0
2019-05-18,,14,0.0,39.0
2019-05-19,,15,0.0,36.0
2019-05-20,,30,0.0,53.0
2019-05-21,,32,1.0,63.0
2019-05-22,,36,0.0,58.0
2019-05-23,,29,0.0,61.0
2019-05-24,,29,0.0,50.0
2019-05-25,,18,0.0,42.0
2019-05-26,,15,0.0,41.0
2019-05-27,,23,0.0,40.0
2019-05-28,,33,0.0,58.0
2019-05-29,,34,1.0,61.0
2019-05-30,,38,0.0,60.0
2019-05-31,,28,0.0,52.0
2019-06-01,,18,0.0,40.0
2019-06-02,,17,0.0,41.0
2019-06-03,,31,0.0,55.0
2019-06-04,,33,0.0,53.0
2019-06-05,,53,1.0,53.0
2019-06-06,,62,0.0,59.0
2019-06-07,,51,0.0,51.0
2019-06-08,,27,0.0,43.0
2019-06-09,,22,1.0,38.0
2019-06-10,,33,1.0,48.0
2019-06-11,,38,1.0,50.0
2019-06-12,,37,1.0,55.0
2019-06-13,,32,0.0,65.0
2019-06-14,,34,0.0,60.0
2019-06-15,,17,0.0,41.0
2019-06-16,,15,0.0,40.0
2019-06-17,,47,0.0,57.0
2019-06-18,,39,0.0,56.0
2019-06-19,,36,0.0,56.0
2019-06-20,,42,1.0,55.0
2019-06-21,,31,0.0,52.0
2019-06-22,,17,0.0,37.0
2019-06-23,,17,0.0,42.0
2019-06-24,,33,0.0,53.0
2019-06-25,,32,0.0,48.0
2019-06-26,,35,0.0,52.0
2019-06-27,,34,0.0,51.0
2019-06-28,,33,0.0,51.0
2019-06-29,,14,0.0,39.0
2019-06-30,,14,0.0,41.0
2019-06-30,,18,0.0,50.0
2019-07-01,,41,1.0,55.0
2019-07-02,,48,0.0,58.0
2019-07-03,,44,0.0,56.0
2019-07-04,,26,0.0,43.0
2019-07-05,,26,0.0,50.0
2019-07-06,,19,0.0,36.0
2019-07-07,,17,2.0,41.0
2019-07-08,,38,0.0,56.0
2019-07-09,,37,0.0,62.0
2019-07-10,,42,0.0,63.0
2019-07-11,,48,0.0,60.0
2019-07-12,,36,0.0,53.0
2019-07-13,,22,0.0,46.0
2019-07-14,,20,1.0,39.0
2019-07-15,,40,0.0,60.0
2019-07-16,,38,0.0,57.0
2019-07-17,,42,0.0,57.0
2019-07-18,,41,0.0,56.0
2019-07-19,,37,0.0,54.0
2019-07-20,,24,0.0,43.0
2019-07-21,,19,1.0,41.0
2019-07-22,,34,0.0,61.0
2019-07-23,,43,0.0,57.0
2019-07-24,,39,1.0,56.0
2019-07-25,,36,0.0,55.0
2019-07-26,,35,1.0,52.0
2019-07-27,,28,0.0,39.0
2019-07-28,,30,0.0,35.0
2019-07-29,,100,0.0,56.0
2019-07-30,,82,0.0,65.0
2019-07-31,,56,0.0,68.0
2019-08-01,,46,0.0,56.0
2019-08-02,,43,1.0,48.0
2019-08-03,,28,0.0,37.0
2019-08-04,,23,0.0,44.0
2019-08-05,,41,1.0,59.0
2019-08-06,,43,0.0,58.0
2019-08-07,,37,0.0,56.0
2019-08-08,,40,0.0,52.0
2019-08-09,,36,0.0,51.0
2019-08-10,,20,0.0,46.0
2019-08-11,,22,0.0,34.0
2019-08-12,,38,1.0,61.0
2019-08-13,,47,0.0,63.0
2019-08-14,,41,0.0,58.0
2019-08-15,,37,0.0,65.0
2019-08-16,,37,0.0,54.0
2019-08-17,,22,0.0,41.0
