,date,Pfizer,COVID-19,Vaccines,Tesla
2018-01-07,,3,0.0,4.0,48.0
2018-01-14,,3,0.0,4.0,46.0
2018-01-21,,3,0.0,4.0,47.0
2018-01-28,,3,0.0,5.0,47.0
2018-02-04,,3,0.0,4.0,100.0
2018-02-11,,3,0.0,4.0,61.0
2018-02-18,,3,0.0,4.0,52.0
2018-02-25,,3,0.0,4.0,45.0
2018-03-04,,2,0.0,4.0,44.0
2018-03-11,,3,0.0,4.0,44.0
2018-03-18,,3,0.0,4.0,44.0
2018-03-25,,2,0.0,4.0,58.0
2018-04-01,,3,0.0,4.0,65.0
2018-04-08,,2,0.0,4.0,45.0
2018-04-15,,3,0.0,4.0,47.0
2018-04-22,,2,0.0,4.0,46.0
2018-04-29,,2,0.0,4.0,53.0
2018-05-06,,2,0.0,4.0,49.0
2018-05-13,,2,0.0,4.0,51.0
2018-05-20,,2,0.0,4.0,48.0
2018-05-27,,2,0.0,3.0,46.0
2018-06-03,,2,0.0,3.0,49.0
2018-06-10,,2,0.0,4.0,46.0
2018-06-17,,2,0.0,3.0,46.0
2018-06-24,,2,0.0,3.0,47.0
2018-07-01,,2,0.0,3.0,49.0
2018-07-08,,3,0.0,3.0,49.0
2018-07-15,,2,0.0,3.0,47.0
2018-07-22,,2,0.0,4.0,50.0
2018-07-29,,3,0.0,3.0,56.0
2018-08-05,,3,0.0,4.0,65.0
2018-08-12,,2,0.0,4.0,56.0
2018-08-19,,2,0.0,4.0,54.0
2018-08-26,,3,0.0,4.0,52.0
2018-09-02,,2,0.0,4.0,61.0
2018-09-09,,2,0.0,4.0,60.0
2018-09-16,,2,0.0,4.0,51.0
2018-09-23,,3,0.0,4.0,58.0
2018-09-30,,3,0.0,4.0,66.0
2018-10-07,,3,0.0,4.0,56.0
2018-10-14,,3,0.0,4.0,53.0
2018-10-21,,3,0.0,5.0,61.0
2018-10-28,,2,0.0,5.0,52.0
2018-11-04,,2,0.0,4.0,50.0
2018-11-11,,3,0.0,5.0,49.0
2018-11-18,,2,0.0,4.0,45.0
2018-11-25,,3,0.0,4.0,46.0
2018-12-02,,2,0.0,4.0,50.0
2018-12-09,,2,0.0,4.0,49.0
2018-12-16,,3,0.0,3.0,53.0
2018-12-23,,2,0.0,3.0,54.0
2018-12-30,,2,0.0,3.0,54.0
2019-01-06,,1,0.0,2.0,27.0
2019-01-13,,1,0.0,2.0,25.0
2019-01-20,,1,0.0,2.0,24.0
2019-01-27,,1,0.0,3.0,25.0
2019-02-03,,1,0.0,3.0,25.0
2019-02-10,,1,0.0,3.0,23.0
2019-02-17,,1,0.0,2.0,25.0
2019-02-24,,1,0.0,3.0,34.0
2019-03-03,,1,0.0,3.0,35.0
2019-03-10,,1,0.0,3.0,39.0
2019-03-17,,1,0.0,2.0,33.0
2019-03-24,,1,0.0,3.0,28.0
2019-03-31,,1,0.0,2.0,29.0
2019-04-07,,1,0.0,3.0,29.0
2019-04-14,,1,0.0,3.0,26.0
2019-04-21,,1,0.0,3.0,37.0
2019-04-28,,1,0.0,3.0,32.0
2019-05-05,,1,0.0,3.0,33.0
2019-05-12,,1,0.0,2.0,32.0
2019-05-19,,1,0.0,2.0,34.0
2019-05-26,,1,0.0,2.0,32.0
2019-06-02,,2,0.0,2.0,34.0
2019-06-09,,1,0.0,2.0,31.0
2019-06-16,,1,0.0,2.0,29.0
2019-06-23,,1,0.0,2.0,30.0
2019-06-30,,1,0.0,2.0,31.0
2019-07-07,,1,0.0,2.0,29.0
2019-07-14,,1,0.0,2.0,31.0
2019-07-21,,1,0.0,2.0,33.0
2019-07-28,,2,0.0,2.0,31.0
2019-08-04,,1,0.0,2.0,29.0
2019-08-11,,1,0.0,2.0,29.0
2019-08-18,,1,0.0,2.0,30.0
2019-08-25,,1,0.0,2.0,27.0
2019-09-01,,1,0.0,2.0,28.0
2019-09-08,,1,0.0,2.0,30.0
2019-09-15,,1,0.0,2.0,31.0
2019-09-22,,1,0.0,2.0,31.0
2019-09-29,,1,0.0,2.0,31.0
2019-10-06,,1,0.0,2.0,30.0
2019-10-13,,1,0.0,2.0,30.0
2019-10-20,,1,0.0,2.0,35.0
2019-10-27,,1,0.0,2.0,31.0
2019-11-03,,1,0.0,2.0,29.0
2019-11-10,,1,0.0,2.0,33.0
2019-11-17,,1,0.0,2.0,100.0
2019-11-24,,1,0.0,2.0,96.0
2019-12-01,,1,0.0,2.0,46.0
2019-12-08,,1,0.0,2.0,37.0
2019-12-15,,1,0.0,2.0,37.0
2019-12-22,,1,0.0,1.0,43.0
2019-12-29,,1,0.0,2.0,39.0
2020-01-05,,1,0.0,1.0,17.0
2020-01-12,,1,0.0,1.0,18.0
2020-01-19,,1,0.0,1.0,18.0
2020-01-26,,1,0.0,1.0,19.0
2020-02-02,,1,0.0,1.0,30.0
2020-02-09,,1,1.0,1.0,20.0
2020-02-16,,1,2.0,1.0,20.0
2020-02-23,,1,5.0,1.0,20.0
2020-03-01,,1,9.0,1.0,17.0
2020-03-08,,1,31.0,1.0,18.0
2020-03-15,,1,71.0,2.0,16.0
2020-03-22,,1,88.0,2.0,13.0
2020-03-29,,1,79.0,2.0,12.0
2020-04-05,,1,70.0,2.0,12.0
2020-04-12,,1,57.0,2.0,13.0
2020-04-19,,1,50.0,2.0,12.0
2020-04-26,,1,45.0,2.0,16.0
2020-05-03,,1,43.0,2.0,15.0
2020-05-10,,1,45.0,2.0,15.0
2020-05-17,,1,40.0,2.0,13.0
2020-05-24,,1,37.0,1.0,15.0
2020-05-31,,1,37.0,1.0,15.0
2020-06-07,,1,40.0,1.0,19.0
2020-06-14,,1,43.0,1.0,16.0
2020-06-21,,1,42.0,1.0,17.0
2020-06-28,,2,38.0,1.0,19.0
2020-07-05,,1,39.0,1.0,24.0
2020-07-12,,1,42.0,1.0,26.0
2020-07-19,,3,41.0,1.0,26.0
2020-07-26,,2,41.0,1.0,19.0
2020-08-02,,1,100.0,1.0,17.0
2020-08-09,,1,35.0,1.0,20.0
2020-08-16,,1,31.0,1.0,24.0
2020-08-23,,1,29.0,1.0,23.0
2020-08-30,,1,30.0,1.0,34.0
2020-09-06,,1,29.0,1.0,29.0
2020-09-13,,1,45.0,1.0,24.0
2020-09-20,,1,29.0,1.0,31.0
2020-09-27,,1,26.0,1.0,21.0
2020-10-04,,1,21.0,1.0,19.0
2020-10-11,,1,20.0,1.0,19.0
2020-10-18,,2,21.0,1.0,20.0
2020-10-25,,1,21.0,1.0,16.0
2020-11-01,,1,19.0,1.0,15.0
2020-11-08,,28,21.0,2.0,17.0
2020-11-15,,10,23.0,2.0,21.0
2020-11-22,,5,19.0,2.0,20.0
2020-11-29,,11,19.0,3.0,20.0
2020-12-06,,17,20.0,4.0,22.0
2020-12-13,,14,20.0,4.0,21.0
2020-12-20,,11,19.0,3.0,22.0
2020-12-27,,11,19.0,5.0,22.0
2021-01-03,,15,28.0,8.0,43.0
2021-01-10,,18,29.0,10.0,45.0
2021-01-17,,18,29.0,10.0,32.0
2021-01-24,,15,27.0,11.0,42.0
2021-01-31,,14,27.0,10.0,35.0
2021-02-07,,13,25.0,9.0,34.0
2021-02-14,,14,26.0,8.0,32.0
2021-02-21,,16,27.0,9.0,38.0
2021-02-28,,18,28.0,11.0,36.0
2021-03-07,,21,29.0,12.0,39.0
2021-03-14,,24,27.0,12.0,31.0
2021-03-21,,23,30.0,11.0,30.0
2021-03-28,,27,31.0,11.0,29.0
2021-04-04,,31,100.0,11.0,28.0
2021-04-11,,36,33.0,10.0,29.0
2021-04-18,,30,34.0,8.0,31.0
2021-04-25,,33,35.0,8.0,30.0
2021-05-02,,33,33.0,9.0,27.0
2021-05-09,,39,52.0,9.0,32.0
2021-05-16,,35,32.0,8.0,31.0
2021-05-23,,32,29.0,8.0,28.0
2021-05-30,,32,28.0,7.0,27.0
2021-06-06,,34,27.0,7.0,28.0
2021-06-13,,34,24.0,7.0,26.0
2021-06-20,,34,34.0,7.0,26.0
2021-06-27,,34,24.0,6.0,26.0
2021-07-04,,34,26.0,6.0,25.0
2021-07-11,,37,26.0,7.0,26.0
2021-07-18,,34,28.0,8.0,27.0
2021-07-25,,36,28.0,8.0,27.0
2021-08-01,,35,45.0,9.0,25.0
2021-08-08,,35,30.0,10.0,25.0
2021-08-15,,34,30.0,9.0,30.0
2021-08-22,,42,27.0,9.0,27.0
2021-08-29,,28,29.0,8.0,25.0
2021-09-05,,23,25.0,7.0,24.0
2021-09-12,,23,25.0,8.0,24.0
2021-09-19,,24,23.0,7.0,24.0
2021-09-26,,21,22.0,6.0,24.0
2021-10-03,,20,20.0,6.0,26.0
2021-10-10,,17,20.0,6.0,26.0
2021-10-17,,18,20.0,5.0,29.0
2021-10-24,,17,19.0,5.0,41.0
2021-10-31,,22,18.0,6.0,38.0
2021-11-07,,20,19.0,5.0,39.0
2021-11-14,,20,20.0,5.0,34.0
2021-11-21,,19,20.0,4.0,30.0
2021-11-28,,20,23.0,5.0,29.0
2021-12-05,,19,20.0,5.0,29.0
2021-12-12,,22,43.0,5.0,30.0
2021-12-19,,21,22.0,5.0,29.0
2021-12-26,,17,24.0,4.0,31.0
2022-01-02,,36,58.0,9.0,58.0
2022-01-09,,34,52.0,9.0,50.0
2022-01-16,,27,100.0,7.0,45.0
2022-01-23,,22,40.0,6.0,56.0
2022-01-30,,18,33.0,6.0,51.0
2022-02-06,,17,30.0,5.0,46.0
2022-02-13,,14,31.0,5.0,48.0
2022-02-20,,10,28.0,4.0,46.0
2022-02-27,,13,24.0,4.0,49.0
2022-03-06,,13,22.0,4.0,58.0
2022-03-13,,9,22.0,4.0,53.0
2022-03-20,,10,22.0,4.0,58.0
2022-03-27,,10,20.0,4.0,58.0
2022-04-03,,8,19.0,4.0,57.0
2022-04-10,,6,17.0,3.0,53.0
2022-04-17,,6,19.0,4.0,55.0
2022-04-24,,6,17.0,4.0,66.0
2022-05-01,,8,15.0,3.0,54.0
2022-05-08,,7,15.0,3.0,53.0
2022-05-15,,6,15.0,3.0,54.0
2022-05-22,,5,14.0,3.0,54.0
2022-05-29,,5,14.0,3.0,50.0
2022-06-05,,5,14.0,3.0,53.0
2022-06-12,,5,14.0,3.0,54.0
2022-06-19,,6,14.0,3.0,53.0
2022-06-26,,5,14.0,3.0,49.0
2022-07-03,,5,13.0,3.0,45.0
2022-07-10,,5,13.0,3.0,46.0
2022-07-17,,5,14.0,3.0,47.0
2022-07-24,,5,13.0,3.0,46.0
2022-07-31,,4,11.0,3.0,47.0
2022-08-07,,4,11.0,3.0,48.0
2022-08-14,,4,10.0,3.0,44.0
2022-08-21,,5,11.0,3.0,51.0
2022-08-28,,4,11.0,3.0,43.0
2022-09-04,,4,11.0,3.0,41.0
2022-09-11,,4,10.0,3.0,37.0
2022-09-18,,4,10.0,3.0,41.0
2022-09-25,,4,10.0,3.0,42.0
2022-10-02,,4,9.0,3.0,44.0
2022-10-09,,8,9.0,4.0,40.0
2022-10-16,,6,9.0,4.0,43.0
2022-10-23,,5,8.0,3.0,41.0
2022-10-30,,4,8.0,3.0,42.0
2022-11-06,,4,8.0,3.0,43.0
2022-11-13,,4,8.0,3.0,44.0
2022-11-20,,3,8.0,2.0,36.0
2022-11-27,,3,7.0,3.0,36.0
